time,step,loss,examples/sec,sec/batch
2016-11-29 02:57:20.990505,1940,1.94,693.6,0.185
2016-11-29 02:57:22.818322,1950,1.87,697.5,0.184
2016-11-29 02:57:24.635950,1960,1.61,800.9,0.160
2016-11-29 02:57:26.444455,1970,1.56,715.6,0.179
2016-11-29 02:57:28.266335,1980,1.49,745.8,0.172
2016-11-29 02:57:30.088302,1990,1.68,681.4,0.188
2016-11-29 02:57:31.884643,2000,1.47,713.8,0.179
2016-11-29 02:57:34.424909,2010,1.56,702.4,0.182
2016-11-29 02:57:36.234560,2020,1.70,696.4,0.184
2016-11-29 02:57:38.055368,2030,1.50,682.3,0.188
2016-11-29 02:57:39.866972,2040,1.72,702.9,0.182
2016-11-29 02:57:41.696637,2050,1.63,716.0,0.179
2016-11-29 02:57:43.526723,2060,1.64,685.8,0.187
2016-11-29 02:57:45.358030,2070,1.71,684.7,0.187
2016-11-29 02:57:47.177376,2080,1.61,697.1,0.184
2016-11-29 02:57:49.006061,2090,1.75,707.4,0.181
2016-11-29 02:57:50.817386,2100,1.81,685.2,0.187
2016-11-29 02:57:52.826649,2110,1.55,693.5,0.185
2016-11-29 02:57:54.641112,2120,1.56,706.0,0.181
2016-11-29 02:57:56.459100,2130,1.60,706.9,0.181
2016-11-29 02:57:58.271204,2140,1.38,721.3,0.177
2016-11-29 02:58:00.116526,2150,1.76,682.6,0.188
2016-11-29 02:58:01.990024,2160,1.45,660.8,0.194
2016-11-29 02:58:03.815750,2170,1.53,670.3,0.191
2016-11-29 02:58:05.623252,2180,1.35,720.9,0.178
2016-11-29 02:58:07.439940,2190,1.56,681.2,0.188
2016-11-29 02:58:09.280636,2200,1.70,713.8,0.179
2016-11-29 02:58:11.287787,2210,1.57,684.5,0.187
2016-11-29 02:58:13.108574,2220,1.30,689.7,0.186
2016-11-29 02:58:14.926213,2230,1.53,691.5,0.185
2016-11-29 02:58:16.773155,2240,1.50,629.4,0.203
2016-11-29 02:58:18.607905,2250,1.60,612.0,0.209
2016-11-29 02:58:20.401642,2260,1.41,690.4,0.185
2016-11-29 02:58:22.223992,2270,1.39,753.4,0.170
2016-11-29 02:58:24.056857,2280,1.52,701.3,0.183
2016-11-29 02:58:25.882145,2290,1.61,694.3,0.184
2016-11-29 02:58:27.696255,2300,1.45,708.3,0.181
2016-11-29 02:58:29.691470,2310,1.78,708.6,0.181
2016-11-29 02:58:31.516799,2320,1.51,708.4,0.181
2016-11-29 02:58:33.345355,2330,1.40,696.2,0.184
2016-11-29 02:58:35.195148,2340,1.42,614.3,0.208
2016-11-29 02:58:37.002934,2350,1.56,709.1,0.181
2016-11-29 02:58:38.817842,2360,1.48,708.2,0.181
2016-11-29 02:58:40.645270,2370,1.58,689.5,0.186
